rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1130	SLC35A1	solute carrier family 35 (CMP-sialic acid transporter), member A1	1044	57	0	0	1	0	0	0	1	1	1	1.377518e-01	NaN	NaN	1.377518e-01	1
1131	ARX	aristaless related homeobox	1705	0	0	1	0	0	0	1	1	1	1	1.377734e-01	NaN	NaN	1.377734e-01	1
1132	ANXA11	annexin A11	1574	9	0	0	1	0	0	0	1	1	1	1.378935e-01	NaN	NaN	1.378935e-01	1
1133	TRPV1	transient receptor potential cation channel, subfamily V, member 1	2346	46	0	0	3	0	0	0	3	3	3	3.077642e-02	1	6.710000e-01	1.379093e-01	1
1134	CRAT	carnitine acetyltransferase	1933	5	0	0	1	0	0	0	1	1	1	1.379484e-01	NaN	NaN	1.379484e-01	1
1135	CCDC85A	coiled-coil domain containing 85A	1682	28	0	0	1	0	0	0	1	1	1	1.379704e-01	NaN	NaN	1.379704e-01	1
1136	IL1RAPL1	interleukin 1 receptor accessory protein-like 1	2133	14	0	0	1	0	0	0	1	1	1	1.380626e-01	NaN	NaN	1.380626e-01	1
1137	ZNF433	zinc finger protein 433	2034	0	0	0	1	0	0	1	2	2	2	8.664496e-02	1	2.770000e-01	1.381501e-01	1
1138	ADAP1	ArfGAP with dual PH domains 1	1165	61	0	0	1	0	0	0	1	1	1	1.384532e-01	NaN	NaN	1.384532e-01	1
1139	OLFML2A	olfactomedin-like 2A	1987	6	0	0	1	0	0	0	1	1	1	1.384920e-01	NaN	NaN	1.384920e-01	1
1140	FTL	ferritin, light polypeptide	540	170	0	0	1	0	0	0	1	1	1	1.387168e-01	NaN	NaN	1.387168e-01	1
1141	CNRIP1	cannabinoid receptor interacting protein 1	562	47	0	0	1	0	0	0	1	1	1	1.388063e-01	NaN	NaN	1.388063e-01	1
1142	ASB10	ankyrin repeat and SOCS box-containing 10	1697	26	1	0	0	0	0	1	1	1	1	1.390463e-01	NaN	NaN	1.390463e-01	1
1143	ZNF419	zinc finger protein 419	1552	43	0	0	1	0	0	0	1	1	1	1.390499e-01	NaN	NaN	1.390499e-01	1
1144	LMO1	LIM domain only 1 (rhombotin 1)	483	10	0	0	1	0	0	0	1	1	1	1.391401e-01	NaN	NaN	1.391401e-01	1
1145	PLEKHG4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4	3658	10	0	0	1	0	0	0	1	1	1	1.392365e-01	NaN	NaN	1.392365e-01	1
1146	TLR5	toll-like receptor 5	2581	7	0	0	3	0	0	0	3	3	3	3.118465e-02	1	8.190000e-01	1.393277e-01	1
1147	ADAM21	ADAM metallopeptidase domain 21	2169	28	0	0	1	0	0	0	1	1	1	1.393489e-01	NaN	NaN	1.393489e-01	1
1148	ERF	Ets2 repressor factor	1659	7	0	0	1	0	0	0	1	1	1	1.393719e-01	NaN	NaN	1.393719e-01	1
1149	PDCD1LG2	programmed cell death 1 ligand 2	846	124	0	0	1	0	0	0	1	1	1	1.393762e-01	NaN	NaN	1.393762e-01	1
1150	TAS2R40	taste receptor, type 2, member 40	971	116	0	0	1	0	0	0	1	1	1	1.393852e-01	NaN	NaN	1.393852e-01	1
1151	C17orf71	chromosome 17 open reading frame 71	2990	31	0	0	0	1	0	0	1	1	1	1.395558e-01	NaN	NaN	1.395558e-01	1
1152	VHL	von Hippel-Lindau tumor suppressor	650	114	0	0	1	0	0	0	1	1	1	1.395818e-01	NaN	NaN	1.395818e-01	1
1153	SLC15A2	solute carrier family 15 (H+/peptide transporter), member 2	2275	22	0	0	1	0	0	0	1	1	1	1.397001e-01	NaN	NaN	1.397001e-01	1
1154	DCTN2	dynactin 2 (p50)	1259	30	0	0	1	0	0	0	1	1	1	1.398992e-01	NaN	NaN	1.398992e-01	1
1155	KIAA1522	KIAA1522	3311	14	0	1	1	0	0	0	1	1	1	1.399797e-01	NaN	NaN	1.399797e-01	1
1156	OR1K1	olfactory receptor, family 1, subfamily K, member 1	950	73	0	0	1	0	0	0	1	1	1	1.400144e-01	NaN	NaN	1.400144e-01	1
1157	ZNF346	zinc finger protein 346	911	86	0	0	1	0	0	0	1	1	1	1.400468e-01	NaN	NaN	1.400468e-01	1
1158	LINGO3	leucine rich repeat and Ig domain containing 3	1783	152	0	0	1	0	0	0	1	1	1	1.403004e-01	NaN	NaN	1.403004e-01	1
1159	PTN	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	526	38	0	0	1	0	0	0	1	1	1	1.403778e-01	NaN	NaN	1.403778e-01	1
1160	CHIT1	chitinase 1 (chitotriosidase)	1443	48	0	0	1	0	0	0	1	1	1	1.403803e-01	NaN	NaN	1.403803e-01	1
1161	GHRH	growth hormone releasing hormone	341	176	0	0	1	0	0	0	1	1	1	1.404299e-01	NaN	NaN	1.404299e-01	1
1162	OAS1	2',5'-oligoadenylate synthetase 1, 40/46kDa	1420	45	1	0	1	0	0	0	1	1	1	1.408957e-01	NaN	NaN	1.408957e-01	1
1163	IL17F	interleukin 17F	502	96	0	0	1	0	0	0	1	1	1	1.409120e-01	NaN	NaN	1.409120e-01	1
1164	LMO7	LIM domain 7	5246	19	1	0	0	0	1	0	1	1	1	1.409847e-01	NaN	NaN	1.409847e-01	1
1165	MXD3	MAX dimerization protein 3	769	94	0	0	0	0	0	1	1	1	1	1.410270e-01	NaN	NaN	1.410270e-01	1
1166	BMP2	bone morphogenetic protein 2	1199	41	0	0	1	0	0	0	1	1	1	1.410501e-01	NaN	NaN	1.410501e-01	1
1167	CCDC67	coiled-coil domain containing 67	1867	3	0	0	0	1	0	0	1	1	1	1.410873e-01	NaN	NaN	1.410873e-01	1
1168	KIAA1524	KIAA1524	2798	30	0	0	1	0	0	0	1	1	1	1.412005e-01	NaN	NaN	1.412005e-01	1
1169	B4GALT3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	1208	43	0	0	1	0	0	0	1	1	1	1.412088e-01	NaN	NaN	1.412088e-01	1
1170	POLR2A	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa	6941	11	0	0	2	0	0	0	2	2	2	1.960284e-01	1	1.380000e-01	1.413059e-01	1
1171	GMPR	guanosine monophosphate reductase	1070	49	0	0	1	0	0	0	1	1	1	1.413186e-01	NaN	NaN	1.413186e-01	1
1172	PRDM13	PR domain containing 13	2136	60	0	1	3	0	0	0	3	3	3	3.177672e-02	1	7.560000e-01	1.413753e-01	1
1173	GLP1R	glucagon-like peptide 1 receptor	1442	57	0	0	1	0	0	0	1	1	1	1.413907e-01	NaN	NaN	1.413907e-01	1
1174	NT5C3L	5'-nucleotidase, cytosolic III-like	1087	22	0	0	1	0	0	0	1	1	1	1.414905e-01	NaN	NaN	1.414905e-01	1
1175	FOXD4L1	forkhead box D4-like 1	1227	12	0	0	1	0	0	0	1	1	1	1.414926e-01	NaN	NaN	1.414926e-01	1
1176	MLLT11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	277	55	0	0	1	0	0	0	1	1	1	1.418533e-01	NaN	NaN	1.418533e-01	1
1177	SLC27A5	solute carrier family 27 (fatty acid transporter), member 5	2123	18	0	1	2	0	0	0	2	2	2	3.195360e-02	1	8.300000e-01	1.419849e-01	1
1178	C9orf43	chromosome 9 open reading frame 43	1816	11	0	0	1	0	0	0	1	1	1	1.419929e-01	NaN	NaN	1.419929e-01	1
1179	FBXL8	F-box and leucine-rich repeat protein 8	1137	46	0	0	1	0	0	0	1	1	1	1.419973e-01	NaN	NaN	1.419973e-01	1
1180	SALL1	sal-like 1 (Drosophila)	3985	96	0	1	3	0	0	0	3	3	3	3.997591e-01	1	6.400000e-02	1.420783e-01	1
1181	CNGA1	cyclic nucleotide gated channel alpha 1	2314	108	0	0	1	0	0	0	1	1	1	1.421530e-01	NaN	NaN	1.421530e-01	1
1182	TMEM190	transmembrane protein 190	554	18	0	0	1	0	0	0	1	1	1	1.421643e-01	NaN	NaN	1.421643e-01	1
1183	FTSJ1	FtsJ homolog 1 (E. coli)	1040	67	0	0	1	0	0	0	1	1	1	1.422387e-01	NaN	NaN	1.422387e-01	1
1184	RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	2026	12	0	0	1	0	0	0	1	1	1	1.423053e-01	NaN	NaN	1.423053e-01	1
1185	KIAA1147	KIAA1147	1400	28	0	0	0	0	0	1	1	1	1	1.423760e-01	NaN	NaN	1.423760e-01	1
1186	C6orf146	chromosome 6 open reading frame 146	1551	20	0	0	1	0	0	0	1	1	1	1.424291e-01	NaN	NaN	1.424291e-01	1
1187	FAM76B	family with sequence similarity 76, member B	1068	55	0	0	1	0	0	0	1	1	1	1.426619e-01	NaN	NaN	1.426619e-01	1
1188	EIF3K	eukaryotic translation initiation factor 3, subunit K	1015	9	0	0	1	0	0	0	1	1	1	1.427425e-01	NaN	NaN	1.427425e-01	1
1189	LRRK1	leucine-rich repeat kinase 1	6176	2	0	0	4	1	0	0	5	4	5	3.217757e-02	1	4.330000e-01	1.427553e-01	1
1190	HFE	hemochromatosis	1068	69	0	0	1	0	0	0	1	1	1	1.427716e-01	NaN	NaN	1.427716e-01	1
1191	SLC24A1	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	2827	58	0	0	2	0	0	0	2	2	2	1.430083e-01	NaN	NaN	1.430083e-01	1
1192	BRDT	bromodomain, testis-specific	2916	31	0	0	0	1	0	0	1	1	1	1.432127e-01	NaN	NaN	1.432127e-01	1
1193	GRIK5	glutamate receptor, ionotropic, kainate 5	3017	4	0	2	2	0	0	0	2	2	2	9.780293e-01	1	1.000000e-02	1.434255e-01	1
1194	PGLYRP2	peptidoglycan recognition protein 2	1749	14	0	0	1	0	0	0	1	1	1	1.435109e-01	NaN	NaN	1.435109e-01	1
1195	STEAP4	STEAP family member 4	1396	8	0	0	1	0	0	0	1	1	1	1.436796e-01	NaN	NaN	1.436796e-01	1
1196	TMEM187	transmembrane protein 187	823	31	0	0	1	0	0	0	1	1	1	1.438775e-01	NaN	NaN	1.438775e-01	1
1197	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	667	23	0	0	1	0	0	0	1	1	1	1.440152e-01	NaN	NaN	1.440152e-01	1
1198	BARX1	BARX homeobox 1	777	116	0	0	0	1	0	0	1	1	1	1.442522e-01	NaN	NaN	1.442522e-01	1
1199	MEAF6	MYST/Esa1-associated factor 6	636	50	0	0	1	0	0	0	1	1	1	1.443527e-01	NaN	NaN	1.443527e-01	1
1200	FNDC8	fibronectin type III domain containing 8	1148	161	0	0	1	0	0	0	1	1	1	1.444180e-01	NaN	NaN	1.444180e-01	1
1201	PLP1	proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)	858	43	0	0	1	0	0	0	1	1	1	1.444192e-01	NaN	NaN	1.444192e-01	1
1202	C18orf1	chromosome 18 open reading frame 1	1014	3	0	0	2	0	0	0	2	2	2	3.267393e-02	1	8.440000e-01	1.444573e-01	1
1203	ARL6IP6	ADP-ribosylation-like factor 6 interacting protein 6	888	47	0	0	1	0	0	1	2	1	2	1.446104e-01	NaN	NaN	1.446104e-01	1
1204	LILRA5	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	1012	7	0	0	1	0	0	0	1	1	1	1.446456e-01	NaN	NaN	1.446456e-01	1
1205	PGRMC1	progesterone receptor membrane component 1	596	42	0	0	1	0	0	0	1	1	1	1.447397e-01	NaN	NaN	1.447397e-01	1
1206	GP9	glycoprotein IX (platelet)	538	67	0	0	1	0	0	0	1	1	1	1.448216e-01	NaN	NaN	1.448216e-01	1
1207	ERI2	ERI1 exoribonuclease family member 2	2571	13	1	0	1	0	0	0	1	1	1	1.448973e-01	NaN	NaN	1.448973e-01	1
1208	ZC3H3	zinc finger CCCH-type containing 3	2893	36	0	0	1	0	0	0	1	1	1	1.449341e-01	NaN	NaN	1.449341e-01	1
1209	HAUS7	HAUS augmin-like complex, subunit 7	1143	23	0	0	1	0	0	0	1	1	1	1.450278e-01	NaN	NaN	1.450278e-01	1
1210	EFCAB4A	EF-hand calcium binding domain 4A	913	62	0	0	1	0	0	0	1	1	1	1.451470e-01	NaN	NaN	1.451470e-01	1
1211	C19orf57	chromosome 19 open reading frame 57	1942	25	1	0	1	0	0	0	1	1	1	1.453557e-01	NaN	NaN	1.453557e-01	1
1212	PIR	pirin (iron-binding nuclear protein)	909	159	0	0	1	0	0	0	1	1	1	1.454728e-01	NaN	NaN	1.454728e-01	1
1213	BTG4	B-cell translocation gene 4	921	5	0	0	2	0	0	0	2	2	2	5.634518e-02	1	4.430000e-01	1.456335e-01	1
1214	KRT17	keratin 17	1328	68	0	0	1	0	0	0	1	1	1	1.457451e-01	NaN	NaN	1.457451e-01	1
1215	SLC35D3	solute carrier family 35, member D3	1255	105	0	0	1	1	0	0	2	2	2	3.305475e-02	1	1.340000e-01	1.457579e-01	1
1216	HIBADH	3-hydroxyisobutyrate dehydrogenase	1039	70	0	0	1	0	0	0	1	1	1	1.457985e-01	NaN	NaN	1.457985e-01	1
1217	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	1152	9	0	0	1	0	0	0	1	1	1	1.458108e-01	NaN	NaN	1.458108e-01	1
1218	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif, 15	2881	18	0	0	1	0	0	0	1	1	1	1.459145e-01	NaN	NaN	1.459145e-01	1
1219	ZNF662	zinc finger protein 662	1480	52	0	0	1	0	0	0	1	1	1	1.459481e-01	NaN	NaN	1.459481e-01	1
1220	EVX2	even-skipped homeobox 2	1437	13	0	0	1	0	0	0	1	1	1	1.459744e-01	NaN	NaN	1.459744e-01	1
1221	KRT5	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	1805	3	0	0	2	0	0	0	2	2	2	1.250380e-01	1	4.600000e-02	1.460317e-01	1
1222	ABHD8	abhydrolase domain containing 8	1481	32	0	0	1	0	0	0	1	1	1	1.461775e-01	NaN	NaN	1.461775e-01	1
1223	C9orf150	chromosome 9 open reading frame 150	691	37	0	0	1	0	0	0	1	1	1	1.463398e-01	NaN	NaN	1.463398e-01	1
1224	RNF17	ring finger protein 17	5014	5	0	0	0	0	1	0	1	1	1	1.465739e-01	NaN	NaN	1.465739e-01	1
1225	GPR81	G protein-coupled receptor 81	1041	41	0	0	1	0	0	0	1	1	1	1.466664e-01	NaN	NaN	1.466664e-01	1
1226	TCF12	transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	2278	21	0	0	1	0	0	0	1	1	1	1.466710e-01	NaN	NaN	1.466710e-01	1
1227	GAL3ST1	galactose-3-O-sulfotransferase 1	1280	20	0	0	1	0	0	0	1	1	1	1.468512e-01	NaN	NaN	1.468512e-01	1
1228	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	3251	47	0	0	0	0	1	0	1	1	1	1.468547e-01	NaN	NaN	1.468547e-01	1
1229	OR51F1	olfactory receptor, family 51, subfamily F, member 1	938	15	0	0	2	0	0	0	2	2	2	5.710203e-02	1	5.820000e-01	1.469492e-01	1
1230	CXCR2	chemokine (C-X-C motif) receptor 2	1087	35	0	0	1	0	0	0	1	1	1	1.470765e-01	NaN	NaN	1.470765e-01	1
1231	WEE2	WEE1 homolog 2 (S. pombe)	1748	20	0	0	1	0	0	0	1	1	1	1.471769e-01	NaN	NaN	1.471769e-01	1
1232	DOHH	deoxyhypusine hydroxylase/monooxygenase	925	7	0	0	2	0	0	0	2	2	2	3.348918e-02	1	9.100000e-01	1.472363e-01	1
1233	VN1R1	vomeronasal 1 receptor 1	1062	77	0	0	1	0	0	0	1	1	1	1.472655e-01	NaN	NaN	1.472655e-01	1
1234	METTL7B	methyltransferase like 7B	739	71	0	0	1	0	0	0	1	1	1	1.475068e-01	NaN	NaN	1.475068e-01	1
1235	RRAGB	Ras-related GTP binding B	1165	13	0	0	1	0	0	0	1	1	1	1.475206e-01	NaN	NaN	1.475206e-01	1
1236	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate	2619	4	0	0	3	0	0	0	3	3	3	1.287166e-01	1	1.690000e-01	1.475957e-01	1
1237	CCDC108	coiled-coil domain containing 108	6058	3	0	0	0	2	0	0	2	2	2	1.000086e-01	1	1.980000e-01	1.476223e-01	1
1238	UBQLNL	ubiquilin-like	1428	28	0	0	1	0	0	0	1	1	1	1.477632e-01	NaN	NaN	1.477632e-01	1
1239	PELI1	pellino homolog 1 (Drosophila)	1281	6	0	0	1	0	0	0	1	1	1	1.478821e-01	NaN	NaN	1.478821e-01	1
1240	SYS1	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)	483	52	0	0	1	0	0	0	1	1	1	1.479441e-01	NaN	NaN	1.479441e-01	1
1241	ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	992	25	0	1	1	0	0	0	1	1	1	1.479753e-01	NaN	NaN	1.479753e-01	1
1242	THTPA	thiamine triphosphatase	701	32	0	0	1	0	0	0	1	1	1	1.480200e-01	NaN	NaN	1.480200e-01	1
1243	PRM3	protamine 3	454	66	0	0	1	0	0	0	1	1	1	1.480920e-01	NaN	NaN	1.480920e-01	1
1244	BRD9	bromodomain containing 9	1874	19	0	0	2	0	0	0	2	2	2	3.375335e-02	1	8.980000e-01	1.481325e-01	1
1245	F5	coagulation factor V (proaccelerin, labile factor)	6771	21	0	1	3	0	0	0	3	3	3	1.048434e-01	1	2.930000e-01	1.481536e-01	1
1246	ATP1B4	ATPase, (Na+)/K+ transporting, beta 4 polypeptide	1104	159	0	0	1	0	0	0	1	1	1	1.481557e-01	NaN	NaN	1.481557e-01	1
1247	SCARB2	scavenger receptor class B, member 2	1481	25	0	0	1	0	0	0	1	1	1	1.481832e-01	NaN	NaN	1.481832e-01	1
1248	PRR16	proline rich 16	854	7	1	0	0	1	0	0	1	1	1	1.484591e-01	NaN	NaN	1.484591e-01	1
1249	ZNF142	zinc finger protein 142	5800	20	0	1	2	1	0	0	3	3	3	3.385274e-02	1	6.040000e-01	1.484692e-01	1
1250	NR6A1	nuclear receptor subfamily 6, group A, member 1	1479	6	0	0	1	0	0	0	1	1	1	1.487326e-01	NaN	NaN	1.487326e-01	1
1251	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	972	58	0	0	1	0	0	0	1	1	1	1.488752e-01	NaN	NaN	1.488752e-01	1
1252	CASQ1	calsequestrin 1 (fast-twitch, skeletal muscle)	1231	15	0	1	2	0	0	0	2	2	2	3.400585e-02	1	7.660000e-01	1.489872e-01	1
1253	LAIR1	leukocyte-associated immunoglobulin-like receptor 1	900	7	0	0	1	0	0	0	1	1	1	1.490157e-01	NaN	NaN	1.490157e-01	1
1254	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A	3508	8	0	0	2	0	0	0	2	2	2	2.600834e-01	1	1.200000e-01	1.492072e-01	1
1255	AFMID	arylformamidase	1041	102	0	0	1	0	0	0	1	1	1	1.493651e-01	NaN	NaN	1.493651e-01	1
1256	DPP4	dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	2401	0	0	0	1	0	0	1	2	1	2	1.495590e-01	NaN	NaN	1.495590e-01	1
1257	FRY	furry homolog (Drosophila)	9282	6	0	0	2	0	0	2	4	3	4	8.491106e-02	1	2.300000e-01	1.497078e-01	1
1258	CTU2	cytosolic thiouridylase subunit 2 homolog (S. pombe)	1608	8	1	0	0	1	0	0	1	1	1	1.497371e-01	NaN	NaN	1.497371e-01	1
1259	SGCD	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	975	18	0	0	1	0	0	0	1	1	1	1.497645e-01	NaN	NaN	1.497645e-01	1
1260	GAN	giant axonal neuropathy (gigaxonin)	1834	23	0	0	0	0	0	1	1	1	1	1.497943e-01	NaN	NaN	1.497943e-01	1
1261	CYR61	cysteine-rich, angiogenic inducer, 61	1162	86	0	0	1	0	0	0	1	1	1	1.498060e-01	NaN	NaN	1.498060e-01	1
1262	JPH1	junctophilin 1	2008	28	0	0	3	0	0	0	3	3	3	1.029366e-01	1	3.130000e-01	1.499059e-01	1
1263	TNRC6A	trinucleotide repeat containing 6A	5985	34	0	0	1	1	0	0	2	2	2	3.436310e-02	1	9.100000e-01	1.501933e-01	1
1264	POU5F2	POU domain class 5, transcription factor 2	989	157	0	0	0	1	0	0	1	1	1	1.502263e-01	NaN	NaN	1.502263e-01	1
1265	SYT17	synaptotagmin XVII	1453	1	0	0	1	0	0	0	1	1	1	1.503415e-01	NaN	NaN	1.503415e-01	1
1266	NTN5	netrin 5	1494	117	0	0	0	0	0	1	1	1	1	1.504326e-01	NaN	NaN	1.504326e-01	1
1267	EBAG9	estrogen receptor binding site associated, antigen, 9	666	44	0	0	2	0	0	0	2	2	2	3.444390e-02	1	7.010000e-01	1.504655e-01	1
1268	GPR101	G protein-coupled receptor 101	1526	22	0	0	1	0	0	0	1	1	1	1.504819e-01	NaN	NaN	1.504819e-01	1
1269	SPAST	spastin	1915	45	0	0	1	0	0	0	1	1	1	1.506888e-01	NaN	NaN	1.506888e-01	1
1270	CNOT3	CCR4-NOT transcription complex, subunit 3	2330	55	0	0	1	0	0	1	2	2	2	3.461006e-02	1	9.810000e-01	1.510248e-01	1
1271	ZNF367	zinc finger protein 367	1069	18	0	0	0	1	0	0	1	1	1	1.510362e-01	NaN	NaN	1.510362e-01	1
1272	TRIM15	tripartite motif-containing 15	1591	10	0	0	1	0	0	0	1	1	1	1.513848e-01	NaN	NaN	1.513848e-01	1
1273	PACSIN3	protein kinase C and casein kinase substrate in neurons 3	1311	10	0	0	1	0	0	0	1	1	1	1.514772e-01	NaN	NaN	1.514772e-01	1
1274	PTAR1	protein prenyltransferase alpha subunit repeat containing 1	1239	54	0	0	1	0	0	0	1	1	1	1.515695e-01	NaN	NaN	1.515695e-01	1
1275	GJB5	gap junction protein, beta 5, 31.1kDa	826	116	0	0	1	0	0	0	1	1	1	1.516321e-01	NaN	NaN	1.516321e-01	1
1276	FADS3	fatty acid desaturase 3	1382	63	0	0	0	0	0	1	1	1	1	1.516758e-01	NaN	NaN	1.516758e-01	1
1277	RWDD3	RWD domain containing 3	835	54	0	0	1	0	0	0	1	1	1	1.517019e-01	NaN	NaN	1.517019e-01	1
1278	PCBP2	poly(rC) binding protein 2	1159	59	0	0	1	0	0	0	1	1	1	1.517095e-01	NaN	NaN	1.517095e-01	1
1279	EIF5A2	eukaryotic translation initiation factor 5A2	478	81	0	0	1	0	0	0	1	1	1	1.517919e-01	NaN	NaN	1.517919e-01	1
1280	ALG6	asparagine-linked glycosylation 6 homolog (S. cerevisiae, alpha-1,3-glucosyltransferase)	1576	11	0	0	2	0	0	0	2	2	2	6.639294e-02	1	9.400000e-02	1.520750e-01	1
1281	TSPAN5	tetraspanin 5	835	91	0	0	1	0	0	0	1	1	1	1.520900e-01	NaN	NaN	1.520900e-01	1
1282	AARSD1	alanyl-tRNA synthetase domain containing 1	1875	9	0	0	1	0	0	0	1	1	1	1.521218e-01	NaN	NaN	1.521218e-01	1
1283	C12orf71	chromosome 12 open reading frame 71	816	166	0	0	1	0	0	0	1	1	1	1.521256e-01	NaN	NaN	1.521256e-01	1
1284	PPP1CB	protein phosphatase 1, catalytic subunit, beta isoform	1016	64	0	0	1	0	0	0	1	1	1	1.521333e-01	NaN	NaN	1.521333e-01	1
1285	GGNBP2	gametogenetin binding protein 2	2142	61	0	0	1	1	0	0	2	2	2	3.498874e-02	1	9.950000e-01	1.522965e-01	1
1286	DDX56	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56	1696	48	0	0	1	0	0	0	1	1	1	1.523273e-01	NaN	NaN	1.523273e-01	1
1287	CEBPZ	CCAAT/enhancer binding protein zeta	3441	62	0	0	1	0	0	0	1	1	1	1.524538e-01	NaN	NaN	1.524538e-01	1
1288	HEMK1	HemK methyltransferase family member 1	1055	116	0	0	1	0	0	0	1	1	1	1.529432e-01	NaN	NaN	1.529432e-01	1
1289	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	2478	25	0	0	0	0	0	1	1	1	1	1.530085e-01	NaN	NaN	1.530085e-01	1
1290	FLG	filaggrin	12194	8	0	1	8	2	0	0	10	8	10	3.523859e-02	1	9.570000e-01	1.531333e-01	1
1291	ZNF250	zinc finger protein 250	1703	95	0	0	2	0	0	0	2	2	2	7.918963e-02	1	4.300000e-01	1.531359e-01	1
1292	FAM20A	family with sequence similarity 20, member A	1666	10	0	0	1	0	0	0	1	1	1	1.532908e-01	NaN	NaN	1.532908e-01	1
1293	ANKHD1	ankyrin repeat and KH domain containing 1	7865	8	0	0	5	0	0	1	6	6	6	3.529418e-02	1	9.560000e-01	1.533192e-01	1
1294	EIF3H	eukaryotic translation initiation factor 3, subunit H	1089	163	0	0	1	0	0	0	1	1	1	1.534737e-01	NaN	NaN	1.534737e-01	1
1295	SIGLEC7	sialic acid binding Ig-like lectin 7	1430	40	0	1	0	1	0	0	1	1	1	1.535762e-01	NaN	NaN	1.535762e-01	1
1296	ZC3HC1	zinc finger, C3HC-type containing 1	1547	24	0	0	0	1	0	0	1	1	1	1.536203e-01	NaN	NaN	1.536203e-01	1
1297	KCNQ2	potassium voltage-gated channel, KQT-like subfamily, member 2	2747	46	0	0	1	0	0	0	1	1	1	1.537476e-01	NaN	NaN	1.537476e-01	1
1298	ZNF460	zinc finger protein 460	1697	12	0	0	1	0	0	0	1	1	1	1.538859e-01	NaN	NaN	1.538859e-01	1
1299	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16	1764	21	0	0	1	0	0	0	1	1	1	1.539775e-01	NaN	NaN	1.539775e-01	1
1300	VWA3B	von Willebrand factor A domain containing 3B	3993	5	0	0	1	1	0	0	2	2	2	8.451652e-02	1	4.200000e-01	1.539967e-01	1
1301	OR51Q1	olfactory receptor, family 51, subfamily Q, member 1	958	13	0	0	1	0	0	0	1	1	1	1.540441e-01	NaN	NaN	1.540441e-01	1
1302	PPP3CC	protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform	1591	34	0	0	1	0	0	0	1	1	1	1.540705e-01	NaN	NaN	1.540705e-01	1
1303	TMF1	TATA element modulatory factor 1	3346	12	0	0	1	0	0	0	1	1	1	1.542380e-01	NaN	NaN	1.542380e-01	1
1304	C2orf68	chromosome 2 open reading frame 68	515	89	0	0	1	0	0	0	1	1	1	1.542620e-01	NaN	NaN	1.542620e-01	1
1305	CCDC68	coiled-coil domain containing 68	1052	21	0	0	1	0	0	0	1	1	1	1.543787e-01	NaN	NaN	1.543787e-01	1
1306	RLN2	relaxin 2	667	18	0	0	1	0	0	0	1	1	1	1.546903e-01	NaN	NaN	1.546903e-01	1
1307	OR2T33	olfactory receptor, family 2, subfamily T, member 33	962	36	0	0	1	0	0	0	1	1	1	1.547393e-01	NaN	NaN	1.547393e-01	1
1308	C4orf41	chromosome 4 open reading frame 41	3521	3	0	0	0	0	0	1	1	1	1	1.549118e-01	NaN	NaN	1.549118e-01	1
1309	ATXN7L3	ataxin 7-like 3	1111	33	0	0	2	0	0	0	2	2	2	3.582169e-02	1	6.450000e-01	1.550793e-01	1
1310	STT3B	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	2539	54	0	0	1	0	0	0	1	1	1	1.551019e-01	NaN	NaN	1.551019e-01	1
1311	SLC47A1	solute carrier family 47, member 1	1779	26	0	0	1	0	0	0	1	1	1	1.551502e-01	NaN	NaN	1.551502e-01	1
1312	OSGIN2	oxidative stress induced growth inhibitor family member 2	1670	54	0	0	1	0	0	0	1	1	1	1.554555e-01	NaN	NaN	1.554555e-01	1
